# ALG --------------------------------------------------------------------------

POP  | pointer:   1540 | args:    32769 (val:     2174)
RET  | pointer:   1542 | args: 
ADD  | pointer:   1500 | args:    32769 (val:      168),    32769 (val:      168),        1 (val:        1)
JT   | pointer:   1504 | args:    32769 (val:      169),     1480 (val:     1480)
ADD  | pointer:   1480 | args:    32771 (val:    29013),        1 (val:        1),    32769 (val:      169)
GT   | pointer:   1484 | args:    32768 (val:       10),    32771 (val:      170),    32772 (val:      169)
JT   | pointer:   1488 | args:    32768 (val:        1),     1507 (val:     1507)
POP  | pointer:   1507 | args:    32774 (val:    28844)
POP  | pointer:   1509 | args:    32773 (val:     1531)
POP  | pointer:   1511 | args:    32772 (val:      169)
POP  | pointer:   1513 | args:    32771 (val:      170)
POP  | pointer:   1515 | args:    32768 (val:        1)
RET  | pointer:   1517 | args: 
POP  | pointer:   5472 | args:    32770 (val:     2174)
POP  | pointer:   5474 | args:    32769 (val:      169)
POP  | pointer:   5476 | args:    32768 (val:    28844)
NOOP | pointer:   5478 | args: 
NOOP | pointer:   5479 | args: 
NOOP | pointer:   5480 | args: 
NOOP | pointer:   5481 | args: 
NOOP | pointer:   5482 | args: 

SET  | pointer:   5483 | args:    32768 (val:     2708),        4 (val:        4)
SET  | pointer:   5486 | args:    32769 (val:     5445),        1 (val:        1)

CALL | pointer:   5489 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        4),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        1),     6048 (val:     6048)
PUSH | pointer:   6048 | args:    32768 (val:        4)
ADD  | pointer:   6050 | args:    32769 (val:        1),    32769 (val:        1),    32767 (val:    32767)
CALL | pointer:   6054 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        4),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        0),     6048 (val:     6048)
ADD  | pointer:   6038 | args:    32768 (val:        4),    32768 (val:        4),    32767 (val:    32767)
SET  | pointer:   6042 | args:    32769 (val:        0),    32775 (val:        1)

CALL | pointer:   6045 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        3),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        1),     6048 (val:     6048)
PUSH | pointer:   6048 | args:    32768 (val:        3)
ADD  | pointer:   6050 | args:    32769 (val:        1),    32769 (val:        1),    32767 (val:    32767)
CALL | pointer:   6054 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        3),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        0),     6048 (val:     6048)
ADD  | pointer:   6038 | args:    32768 (val:        3),    32768 (val:        3),    32767 (val:    32767)
SET  | pointer:   6042 | args:    32769 (val:        0),    32775 (val:        1)

CALL | pointer:   6045 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        2),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        1),     6048 (val:     6048)
PUSH | pointer:   6048 | args:    32768 (val:        2)
ADD  | pointer:   6050 | args:    32769 (val:        1),    32769 (val:        1),    32767 (val:    32767)
CALL | pointer:   6054 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        2),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        0),     6048 (val:     6048)
ADD  | pointer:   6038 | args:    32768 (val:        2),    32768 (val:        2),    32767 (val:    32767)
SET  | pointer:   6042 | args:    32769 (val:        0),    32775 (val:        1)

CALL | pointer:   6045 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        1),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        1),     6048 (val:     6048)
PUSH | pointer:   6048 | args:    32768 (val:        1)
ADD  | pointer:   6050 | args:    32769 (val:        1),    32769 (val:        1),    32767 (val:    32767)
CALL | pointer:   6054 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        1),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        0),     6048 (val:     6048)
ADD  | pointer:   6038 | args:    32768 (val:        1),    32768 (val:        1),    32767 (val:    32767)
SET  | pointer:   6042 | args:    32769 (val:        0),    32775 (val:        1)

CALL | pointer:   6045 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        0),     6035 (val:     6035)
ADD  | pointer:   6030 | args:    32768 (val:        0),    32769 (val:        1),        1 (val:        1)
RET  | pointer:   6034 | args: 
RET  | pointer:   6047 | args: 
SET  | pointer:   6056 | args:    32769 (val:        1),    32768 (val:        2)
POP  | pointer:   6059 | args:    32768 (val:        2)
ADD  | pointer:   6061 | args:    32768 (val:        1),    32768 (val:        1),    32767 (val:    32767)
CALL | pointer:   6065 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        0),     6035 (val:     6035)
ADD  | pointer:   6030 | args:    32768 (val:        0),    32769 (val:        2),        1 (val:        1)
RET  | pointer:   6034 | args: 
RET  | pointer:   6067 | args: 
RET  | pointer:   6047 | args: 
SET  | pointer:   6056 | args:    32769 (val:        2),    32768 (val:        3)
POP  | pointer:   6059 | args:    32768 (val:        3)
ADD  | pointer:   6061 | args:    32768 (val:        2),    32768 (val:        2),    32767 (val:    32767)
CALL | pointer:   6065 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        1),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        3),     6048 (val:     6048)
PUSH | pointer:   6048 | args:    32768 (val:        1)
ADD  | pointer:   6050 | args:    32769 (val:        3),    32769 (val:        3),    32767 (val:    32767)
CALL | pointer:   6054 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        1),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        2),     6048 (val:     6048)
PUSH | pointer:   6048 | args:    32768 (val:        1)
ADD  | pointer:   6050 | args:    32769 (val:        2),    32769 (val:        2),    32767 (val:    32767)
CALL | pointer:   6054 | args:     6027 (val:     6027)
JT   | pointer:   6027 | args:    32768 (val:        1),     6035 (val:     6035)
JT   | pointer:   6035 | args:    32769 (val:        1),     6048 (val:     6048)
